"","Player","doubles","triples","home_runs","singles"
"152","Bert Johnson",0.0352422907488987,0.0220264317180617,0.0176211453744493,0.201174743024963
"153","Zollie Wright",0.0274261603375527,0.0147679324894515,0.0147679324894515,0.199367088607595
"154","Clarence Palm",0.0383647798742138,0.0113207547169811,0.0308176100628931,0.184905660377358
"155","Leslie Green",0.0396600566572238,0.0084985835694051,0.0084985835694051,0.161473087818697
"156","Vic Harris",0.0410351201478743,0.0173752310536044,0.011090573012939,0.201478743068392
"157","Lloyd Davenport",0.0457446808510638,0.0117021276595745,0.00319148936170213,0.207446808510638
"158","Johnny Smith",0.0282861896838602,0.0149750415973378,0.00332778702163062,0.24459234608985
"159","Jess Brooks",0.0630630630630631,0.027027027027027,0.00900900900900901,0.135135135135135
"160","Alex Radcliff",0.0492468134414832,0.0168018539976825,0.0110081112398609,0.19351100811124
"161","Nat Rogers",0.0440785979819437,0.0143388210302708,0.00637280934678704,0.213489113117366
"162","George Giles",0.0486680327868852,0.0153688524590164,0.00461065573770492,0.203381147540984
"163","Earl Gurley",0.0441176470588235,0.0213903743315508,0.0120320855614973,0.175133689839572
"164","Quincy Trouppe",0.0447761194029851,0.0167910447761194,0.0111940298507463,0.154850746268657
"165","Ed Young",0.0512820512820513,0.0120663650075415,0.0120663650075415,0.176470588235294
"166","Tom Young",0.0470588235294118,0.0201680672268908,0.0092436974789916,0.189075630252101
"167","Clemente Carreras",0.0352941176470588,0.00392156862745098,0.0196078431372549,0.184313725490196
"168","Dewey Creacy",0.0366649924660974,0.0150678051230537,0.0213460572576595,0.183576092415871
"169","Newt Joseph",0.0468497576736672,0.0145395799676898,0.0125201938610662,0.175282714054927
"170","Frank McCoy",0.0672268907563025,0.00840336134453781,0,0.226890756302521
"171","C.B. Griffin",0.0402010050251256,0,0.0251256281407035,0.190954773869347
"172","Willie Nixon",0.0442477876106195,0.0176991150442478,0.0176991150442478,0.141592920353982
"173","Louis Dula",0.0727272727272727,0,0.0272727272727273,0.190909090909091
"174","Lázaro Salazar",0.0457516339869281,0.00816993464052288,0.0147058823529412,0.194444444444444
"175","Matthew Jackson",0.019047619047619,0.019047619047619,0,0.238095238095238
"176","Buddy Burbage",0.0440677966101695,0.0180790960451977,0.0112994350282486,0.188700564971751
"177","Henry Milton",0.032258064516129,0.0167741935483871,0.00774193548387097,0.192258064516129
"178","Charlie Spearman",0.0483870967741935,0.00716845878136201,0.0232974910394265,0.184587813620072
"179","Bernardo Baró",0.0344622697563874,0.0124777183600713,0.0095068330362448,0.221628045157457
"180","Stack Martin",0.0542035398230089,0.0199115044247788,0.0199115044247788,0.194690265486726
"181","Ray Dandridge",0.055,0.019,0.004,0.218
"182","Jim Williams",0.0592495062541145,0.00921658986175115,0.00592495062541146,0.208689927583937
"183","Joe Scott",0.036036036036036,0.0144144144144144,0.00540540540540541,0.230630630630631
"184","Johnny Washington",0.0377595972309629,0.0176211453744493,0.00818124606670862,0.227186910006293
"185","Marshall Riddle",0.0296127562642369,0.0227790432801822,0.00227790432801822,0.189066059225513
"186","Koke Alexander",0.0360824742268041,0.0206185567010309,0.00515463917525773,0.182989690721649
"187","George Johnson",0.0517998244073749,0.0105355575065847,0.0175592625109745,0.172958735733099
"188","Larnie Jordan",0.0423452768729642,0.0195439739413681,0.00651465798045603,0.224755700325733
"189","George Bennette",0.0127118644067797,0.00847457627118644,0.00423728813559322,0.216101694915254
"190","Eddie Douglass",0.0432276657060519,0.00864553314121038,0.0201729106628242,0.207492795389049
"191","George Minor",0.0172413793103448,0.0344827586206897,0,0.21551724137931
"192","Hilton Smith",0.0485074626865672,0.0111940298507463,0.0111940298507463,0.205223880597015
"193","Claro Duany",0.0532786885245902,0.00409836065573771,0.00819672131147541,0.200819672131148
"194","Nip Winters",0.0594900849858357,0.018413597733711,0.018413597733711,0.162889518413598
"195","Red Hale",0.0185185185185185,0.0462962962962963,0.0277777777777778,0.138888888888889
"196","Verdell Mathis",0.027027027027027,0.0027027027027027,0.0027027027027027,0.232432432432432
"197","Leroy Morney",0.0416666666666667,0.0120056497175141,0.0077683615819209,0.186440677966102
"198","Bill Riggins",0.0404074702886248,0.0139219015280136,0.0139219015280136,0.18641765704584
"199","Perry Hall",0.0540540540540541,0.0045045045045045,0.00900900900900901,0.220720720720721
"200","Frank Williams",0.0408163265306122,0.0136054421768707,0,0.17687074829932
"201","Bill Williams",0.0286298568507157,0.016359918200409,0.00511247443762781,0.184049079754601
"202","George Gill",0.0414201183431953,0.0177514792899408,0,0.230769230769231
"203","Joe Craig",0.0106951871657754,0.0106951871657754,0.0053475935828877,0.213903743315508
"204","Archie Ware",0.0369276218611521,0.0103397341211226,0.00443131462333826,0.205317577548006
"205","Eudie Napier",0.0255591054313099,0.0159744408945687,0.00958466453674121,0.194888178913738
"206","Johnny Jones",0.0374732334047109,0.0160599571734475,0.012847965738758,0.197537473233405
"207","Leovigildo Xiqués",0.0171428571428571,0.0114285714285714,0,0.228571428571429
"208","Poindexter Williams",0.0405759162303665,0.0163612565445026,0.0143979057591623,0.200261780104712
"209","Tom Parker",0.0436456996148909,0.0141206675224647,0.0154043645699615,0.195121951219512
"210","Jerry Benjamin",0.0330450895614577,0.012970969734404,0.0086473131562693,0.208462013588635
"211","Rich Gee",0.0501193317422434,0.00954653937947494,0.0119331742243437,0.183770883054893
"212","Herb Souell",0.0274914089347079,0.0144329896907217,0.00412371134020619,0.225429553264605
"213","Lester Lockett",0.0394412489728841,0.0131470829909614,0.00657354149548069,0.199671322925226
"214","Willie Grace",0.0298913043478261,0.0108695652173913,0,0.233695652173913
"215","John Donaldson",0.0350109409190372,0.0109409190371991,0.00656455142231947,0.212253829321663
"216","Bob Wilson",0.0303951367781155,0.00303951367781155,0.00911854103343465,0.231003039513678
"217","Bill Carter",0.0480769230769231,0.00480769230769231,0,0.254807692307692
"218","Armando Vázquez",0.0204081632653061,0.0153061224489796,0.0102040816326531,0.204081632653061
"219","Codie Spearman",0.0431034482758621,0,0.00862068965517241,0.258620689655172
"220","Buddy Armour",0.0441595441595442,0.0128205128205128,0.00427350427350427,0.188034188034188
"221","Jim West",0.0381679389312977,0.0145401672119229,0.0119956379498364,0.188295165394402
"222","Percy Wilson",0.0559440559440559,0.0244755244755245,0.0104895104895105,0.171328671328671
"223","Cleo Smith",0.0358974358974359,0.0179487179487179,0.0102564102564103,0.182051282051282
